id ,name,district_id,created_at,updated_at,,,,,,,
231,Hindiro,25,2020-04-11 20:33:56,2020-04-11 20:33:56,,,,,,,
232,Kabaya,25,2020-04-11 20:33:57,2020-04-11 20:33:57,,,,,,,
233,Kageyo,25,2020-04-11 20:33:58,2020-04-11 20:33:58,,,,,,,
234,Kavumu,25,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
235,Matyazo,25,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
236,Muhanda,25,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
237,Muhororo,25,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
238,Ndaro,25,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
239,Ngororero,25,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
240,Nyange,25,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
241,Sovu,25,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
242,Bigogwe,26,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
243,Jenda,26,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
244,Jomba,26,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
245,Kabatwa,26,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
246,Karago,26,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
247,Kintobo,26,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
248,Mukamira,26,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
249,Muringa,26,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
250,Rambura,26,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
251,Rugera,26,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
252,Rurembo,26,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
253,Shyira,26,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
254,Gatunda,9,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
255,Karama,9,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
256,Karangazi,9,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
257,Katabagemu,9,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
258,Kiyombe,9,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
259,Matimba,9,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
260,Mimuri,9,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
261,Mukama,9,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
262,Musheri,9,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
263,Nyagatare,9,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
264,Rukomo,9,2020-04-11 20:33:31,2020-04-11 20:33:31,,,,,,,
265,Rwempasha,9,2020-04-11 20:33:32,2020-04-11 20:33:32,,,,,,,
266,Rwimiyaga,9,2020-04-11 20:33:33,2020-04-11 20:33:33,,,,,,,
267,Tabagwe,9,2020-04-11 20:33:34,2020-04-11 20:33:34,,,,,,,
268,Buruhukiro,20,2020-04-11 20:33:35,2020-04-11 20:33:35,,,,,,,
